Регистрационный номер,Наименование НИОКР,Организация,Год начала,Год окончания,Тип работы,Направление,Стоимость
NIOKR-000241,Исследование в области 'Биотехнологии' №241,УрФУ,2018,2019,ОКР,Биотехнологии,16419645
NIOKR-000242,Исследование в области 'Робототехника' №242,Томский политехнический университет,2019,2022,Технологическая работа,Робототехника,84446356
NIOKR-000243,Исследование в области 'Информационные технологии' №243,Сколтех,2024,2027,Технологическая работа,Информационные технологии,94076127
NIOKR-000244,Исследование в области 'Ядерные технологии' №244,ИТМО,2019,2020,Технологическая работа,Ядерные технологии,42471222
NIOKR-000245,Исследование в области 'Информационные технологии' №245,МФТИ,2020,2022,НИР,Информационные технологии,77010330
NIOKR-000246,Исследование в области 'Ядерные технологии' №246,МГТУ им. Баумана,2021,2022,НИР,Ядерные технологии,72200181
NIOKR-000247,Исследование в области 'Микроэлектроника' №247,КФУ,2018,2020,ОКР,Микроэлектроника,22127115
NIOKR-000248,Исследование в области 'Биотехнологии' №248,Сколтех,2020,2022,Технологическая работа,Биотехнологии,12402740
NIOKR-000249,Исследование в области 'Ядерные технологии' №249,Сколтех,2015,2016,НИР,Ядерные технологии,91458549
NIOKR-000250,Исследование в области 'Квантовые технологии' №250,Томский политехнический университет,2016,2018,ОКР,Квантовые технологии,82480362
NIOKR-000251,Исследование в области 'Новые материалы' №251,СПбГУ,2022,2024,Технологическая работа,Новые материалы,16276327
NIOKR-000252,Исследование в области 'Искусственный интеллект' №252,ИТМО,2020,2022,Технологическая работа,Искусственный интеллект,92064883
NIOKR-000253,Исследование в области 'Новые материалы' №253,МГТУ им. Баумана,2024,2026,НИР,Новые материалы,54051354
NIOKR-000254,Исследование в области 'Информационные технологии' №254,СПбГУ,2024,2025,ОКР,Информационные технологии,29351344
NIOKR-000255,Исследование в области 'Новые материалы' №255,НИУ ВШЭ,2017,2019,НИР,Новые материалы,2037490
NIOKR-000256,Исследование в области 'Микроэлектроника' №256,МФТИ,2022,2025,НИР,Микроэлектроника,52030579
NIOKR-000257,Исследование в области 'Робототехника' №257,УрФУ,2023,2026,Технологическая работа,Робототехника,90663907
NIOKR-000258,Исследование в области 'Микроэлектроника' №258,МГТУ им. Баумана,2020,2021,ОКР,Микроэлектроника,3515446
NIOKR-000259,Исследование в области 'Биотехнологии' №259,Сколтех,2022,2023,ОКР,Биотехнологии,77960402
NIOKR-000260,Исследование в области 'Микроэлектроника' №260,ИТМО,2021,2024,НИР,Микроэлектроника,55362516
NIOKR-000261,Исследование в области 'Ядерные технологии' №261,Сколтех,2015,2017,ОКР,Ядерные технологии,93557892
NIOKR-000262,Исследование в области 'Микроэлектроника' №262,НИЯУ МИФИ,2020,2021,НИР,Микроэлектроника,59475513
NIOKR-000263,Исследование в области 'Искусственный интеллект' №263,Томский политехнический университет,2024,2026,ОКР,Искусственный интеллект,46568701
NIOKR-000264,Исследование в области 'Ядерные технологии' №264,НИЯУ МИФИ,2018,2020,Технологическая работа,Ядерные технологии,85989976
NIOKR-000265,Исследование в области 'Робототехника' №265,НИУ ВШЭ,2016,2019,ОКР,Робототехника,98627170
NIOKR-000266,Исследование в области 'Искусственный интеллект' №266,МФТИ,2017,2018,ОКР,Искусственный интеллект,27477373
NIOKR-000267,Исследование в области 'Ядерные технологии' №267,НИЯУ МИФИ,2017,2020,НИР,Ядерные технологии,85281857
NIOKR-000268,Исследование в области 'Квантовые технологии' №268,Сколтех,2022,2024,Технологическая работа,Квантовые технологии,86268296
NIOKR-000269,Исследование в области 'Биотехнологии' №269,МФТИ,2024,2026,ОКР,Биотехнологии,10165226
NIOKR-000270,Исследование в области 'Новые материалы' №270,ИТМО,2022,2024,Технологическая работа,Новые материалы,8539294
NIOKR-000271,Исследование в области 'Искусственный интеллект' №271,ИТМО,2020,2023,ОКР,Искусственный интеллект,61654852
NIOKR-000272,Исследование в области 'Биотехнологии' №272,ИТМО,2015,2016,НИР,Биотехнологии,87525668
NIOKR-000273,Исследование в области 'Микроэлектроника' №273,КФУ,2016,2019,Технологическая работа,Микроэлектроника,75399083
NIOKR-000274,Исследование в области 'Робототехника' №274,НИУ ВШЭ,2015,2017,Технологическая работа,Робототехника,64837847
NIOKR-000275,Исследование в области 'Информационные технологии' №275,КФУ,2023,2024,НИР,Информационные технологии,47095437
NIOKR-000276,Исследование в области 'Ядерные технологии' №276,МГТУ им. Баумана,2016,2019,НИР,Ядерные технологии,95975377
NIOKR-000277,Исследование в области 'Ядерные технологии' №277,НИУ ВШЭ,2022,2024,ОКР,Ядерные технологии,38969333
NIOKR-000278,Исследование в области 'Биотехнологии' №278,Сколтех,2021,2023,НИР,Биотехнологии,85676162
NIOKR-000279,Исследование в области 'Биотехнологии' №279,НИЯУ МИФИ,2020,2021,Технологическая работа,Биотехнологии,92050534
NIOKR-000280,Исследование в области 'Новые материалы' №280,Сколтех,2021,2023,НИР,Новые материалы,45743095
NIOKR-000281,Исследование в области 'Ядерные технологии' №281,НИУ ВШЭ,2016,2019,ОКР,Ядерные технологии,89054173
NIOKR-000282,Исследование в области 'Искусственный интеллект' №282,ИТМО,2021,2022,Технологическая работа,Искусственный интеллект,51557040
NIOKR-000283,Исследование в области 'Искусственный интеллект' №283,Томский политехнический университет,2020,2021,Технологическая работа,Искусственный интеллект,49563745
NIOKR-000284,Исследование в области 'Новые материалы' №284,МФТИ,2015,2017,НИР,Новые материалы,46866538
NIOKR-000285,Исследование в области 'Робототехника' №285,МФТИ,2022,2023,НИР,Робототехника,11356922
NIOKR-000286,Исследование в области 'Информационные технологии' №286,НИУ ВШЭ,2019,2020,Технологическая работа,Информационные технологии,18589104
NIOKR-000287,Исследование в области 'Ядерные технологии' №287,МФТИ,2024,2026,НИР,Ядерные технологии,93992167
NIOKR-000288,Исследование в области 'Квантовые технологии' №288,МГТУ им. Баумана,2024,2025,ОКР,Квантовые технологии,49895439
NIOKR-000289,Исследование в области 'Новые материалы' №289,КФУ,2018,2020,НИР,Новые материалы,72673763
NIOKR-000290,Исследование в области 'Квантовые технологии' №290,СПбГУ,2018,2020,ОКР,Квантовые технологии,92040800
NIOKR-000291,Исследование в области 'Квантовые технологии' №291,ИТМО,2024,2026,ОКР,Квантовые технологии,68498993
NIOKR-000292,Исследование в области 'Ядерные технологии' №292,СПбГУ,2023,2025,Технологическая работа,Ядерные технологии,19575536
NIOKR-000293,Исследование в области 'Квантовые технологии' №293,НИУ ВШЭ,2019,2020,Технологическая работа,Квантовые технологии,14769360
NIOKR-000294,Исследование в области 'Новые материалы' №294,НИЯУ МИФИ,2023,2024,НИР,Новые материалы,37613428
NIOKR-000295,Исследование в области 'Ядерные технологии' №295,Томский политехнический университет,2022,2025,НИР,Ядерные технологии,30801436
NIOKR-000296,Исследование в области 'Информационные технологии' №296,Томский политехнический университет,2022,2024,НИР,Информационные технологии,54211150
NIOKR-000297,Исследование в области 'Робототехника' №297,Томский политехнический университет,2023,2025,НИР,Робототехника,51319927
NIOKR-000298,Исследование в области 'Биотехнологии' №298,НИЯУ МИФИ,2018,2019,Технологическая работа,Биотехнологии,88236246
NIOKR-000299,Исследование в области 'Ядерные технологии' №299,МГТУ им. Баумана,2020,2021,ОКР,Ядерные технологии,64411827
NIOKR-000300,Исследование в области 'Квантовые технологии' №300,КФУ,2017,2020,Технологическая работа,Квантовые технологии,1704803
NIOKR-000301,Исследование в области 'Новые материалы' №301,СПбГУ,2016,2017,НИР,Новые материалы,74659258
NIOKR-000302,Исследование в области 'Микроэлектроника' №302,НИЯУ МИФИ,2024,2027,ОКР,Микроэлектроника,32895531
NIOKR-000303,Исследование в области 'Информационные технологии' №303,СПбГУ,2019,2020,ОКР,Информационные технологии,86758649
NIOKR-000304,Исследование в области 'Искусственный интеллект' №304,НИЯУ МИФИ,2024,2026,ОКР,Искусственный интеллект,81092958
NIOKR-000305,Исследование в области 'Робототехника' №305,МФТИ,2023,2024,ОКР,Робототехника,58611469
NIOKR-000306,Исследование в области 'Биотехнологии' №306,СПбГУ,2015,2018,Технологическая работа,Биотехнологии,56910756
NIOKR-000307,Исследование в области 'Искусственный интеллект' №307,УрФУ,2017,2020,ОКР,Искусственный интеллект,10083764
NIOKR-000308,Исследование в области 'Информационные технологии' №308,Томский политехнический университет,2023,2026,ОКР,Информационные технологии,6843091
NIOKR-000309,Исследование в области 'Новые материалы' №309,МГТУ им. Баумана,2021,2023,ОКР,Новые материалы,10067690
NIOKR-000310,Исследование в области 'Искусственный интеллект' №310,Сколтех,2020,2021,Технологическая работа,Искусственный интеллект,45629892
NIOKR-000311,Исследование в области 'Биотехнологии' №311,УрФУ,2017,2018,ОКР,Биотехнологии,87274567
NIOKR-000312,Исследование в области 'Квантовые технологии' №312,КФУ,2017,2020,Технологическая работа,Квантовые технологии,25464938
NIOKR-000313,Исследование в области 'Квантовые технологии' №313,МГТУ им. Баумана,2017,2018,ОКР,Квантовые технологии,28057085
NIOKR-000314,Исследование в области 'Информационные технологии' №314,НИУ ВШЭ,2015,2016,ОКР,Информационные технологии,70173614
NIOKR-000315,Исследование в области 'Квантовые технологии' №315,ИТМО,2021,2024,НИР,Квантовые технологии,87825515
NIOKR-000316,Исследование в области 'Биотехнологии' №316,МГТУ им. Баумана,2018,2020,Технологическая работа,Биотехнологии,45550177
NIOKR-000317,Исследование в области 'Биотехнологии' №317,Томский политехнический университет,2019,2020,ОКР,Биотехнологии,60020451
NIOKR-000318,Исследование в области 'Ядерные технологии' №318,КФУ,2021,2023,Технологическая работа,Ядерные технологии,67776459
NIOKR-000319,Исследование в области 'Новые материалы' №319,НИЯУ МИФИ,2020,2023,Технологическая работа,Новые материалы,57975380
NIOKR-000320,Исследование в области 'Ядерные технологии' №320,УрФУ,2016,2018,ОКР,Ядерные технологии,44112268
NIOKR-000321,Исследование в области 'Биотехнологии' №321,ИТМО,2016,2017,ОКР,Биотехнологии,60849800
NIOKR-000322,Исследование в области 'Микроэлектроника' №322,МФТИ,2024,2027,Технологическая работа,Микроэлектроника,60580374
NIOKR-000323,Исследование в области 'Информационные технологии' №323,НИУ ВШЭ,2020,2022,Технологическая работа,Информационные технологии,59376726
NIOKR-000324,Исследование в области 'Информационные технологии' №324,НИЯУ МИФИ,2019,2022,Технологическая работа,Информационные технологии,86565484
NIOKR-000325,Исследование в области 'Ядерные технологии' №325,МГТУ им. Баумана,2021,2023,НИР,Ядерные технологии,82547054
NIOKR-000326,Исследование в области 'Ядерные технологии' №326,НИЯУ МИФИ,2022,2023,НИР,Ядерные технологии,87592295
NIOKR-000327,Исследование в области 'Микроэлектроника' №327,Сколтех,2020,2022,НИР,Микроэлектроника,82214453
NIOKR-000328,Исследование в области 'Квантовые технологии' №328,НИУ ВШЭ,2017,2020,ОКР,Квантовые технологии,60584522
NIOKR-000329,Исследование в области 'Ядерные технологии' №329,УрФУ,2016,2019,ОКР,Ядерные технологии,54423225
NIOKR-000330,Исследование в области 'Новые материалы' №330,СПбГУ,2020,2023,НИР,Новые материалы,4478029
NIOKR-000331,Исследование в области 'Микроэлектроника' №331,УрФУ,2017,2019,НИР,Микроэлектроника,36135070
NIOKR-000332,Исследование в области 'Квантовые технологии' №332,СПбГУ,2019,2022,Технологическая работа,Квантовые технологии,39329479
NIOKR-000333,Исследование в области 'Искусственный интеллект' №333,МФТИ,2022,2023,НИР,Искусственный интеллект,61672142
NIOKR-000334,Исследование в области 'Квантовые технологии' №334,НИЯУ МИФИ,2017,2020,Технологическая работа,Квантовые технологии,43894344
NIOKR-000335,Исследование в области 'Искусственный интеллект' №335,УрФУ,2020,2023,Технологическая работа,Искусственный интеллект,39971765
NIOKR-000336,Исследование в области 'Ядерные технологии' №336,НИУ ВШЭ,2019,2020,Технологическая работа,Ядерные технологии,31097200
NIOKR-000337,Исследование в области 'Ядерные технологии' №337,СПбГУ,2016,2017,ОКР,Ядерные технологии,4527782
NIOKR-000338,Исследование в области 'Биотехнологии' №338,КФУ,2020,2023,Технологическая работа,Биотехнологии,18417599
NIOKR-000339,Исследование в области 'Искусственный интеллект' №339,ИТМО,2024,2025,ОКР,Искусственный интеллект,97225198
NIOKR-000340,Исследование в области 'Микроэлектроника' №340,Томский политехнический университет,2022,2025,Технологическая работа,Микроэлектроника,10898653
NIOKR-000341,Исследование в области 'Искусственный интеллект' №341,КФУ,2017,2019,ОКР,Искусственный интеллект,92282683
NIOKR-000342,Исследование в области 'Ядерные технологии' №342,УрФУ,2023,2025,Технологическая работа,Ядерные технологии,79891300
NIOKR-000343,Исследование в области 'Микроэлектроника' №343,УрФУ,2017,2018,НИР,Микроэлектроника,17664623
NIOKR-000344,Исследование в области 'Новые материалы' №344,МФТИ,2023,2024,НИР,Новые материалы,44306792
NIOKR-000345,Исследование в области 'Новые материалы' №345,НИЯУ МИФИ,2018,2020,ОКР,Новые материалы,27347197
NIOKR-000346,Исследование в области 'Ядерные технологии' №346,ИТМО,2023,2025,Технологическая работа,Ядерные технологии,72602209
NIOKR-000347,Исследование в области 'Ядерные технологии' №347,Сколтех,2016,2019,Технологическая работа,Ядерные технологии,21695604
NIOKR-000348,Исследование в области 'Биотехнологии' №348,Сколтех,2017,2020,НИР,Биотехнологии,4808225
NIOKR-000349,Исследование в области 'Новые материалы' №349,СПбГУ,2016,2017,Технологическая работа,Новые материалы,56913331
NIOKR-000350,Исследование в области 'Информационные технологии' №350,КФУ,2024,2027,Технологическая работа,Информационные технологии,74226170
NIOKR-000351,Исследование в области 'Новые материалы' №351,КФУ,2019,2022,НИР,Новые материалы,92937914
NIOKR-000352,Исследование в области 'Квантовые технологии' №352,НИЯУ МИФИ,2021,2023,Технологическая работа,Квантовые технологии,9041391
NIOKR-000353,Исследование в области 'Микроэлектроника' №353,КФУ,2017,2019,ОКР,Микроэлектроника,28383505
NIOKR-000354,Исследование в области 'Ядерные технологии' №354,НИУ ВШЭ,2020,2023,Технологическая работа,Ядерные технологии,43857920
NIOKR-000355,Исследование в области 'Ядерные технологии' №355,НИУ ВШЭ,2020,2022,Технологическая работа,Ядерные технологии,76383550
NIOKR-000356,Исследование в области 'Робототехника' №356,КФУ,2016,2018,НИР,Робототехника,36899440
NIOKR-000357,Исследование в области 'Ядерные технологии' №357,НИЯУ МИФИ,2022,2023,НИР,Ядерные технологии,39951595
NIOKR-000358,Исследование в области 'Микроэлектроника' №358,СПбГУ,2021,2024,НИР,Микроэлектроника,44947691
NIOKR-000359,Исследование в области 'Биотехнологии' №359,СПбГУ,2024,2027,НИР,Биотехнологии,67876068
NIOKR-000360,Исследование в области 'Квантовые технологии' №360,ИТМО,2023,2025,ОКР,Квантовые технологии,4110670
NIOKR-000361,Исследование в области 'Квантовые технологии' №361,СПбГУ,2016,2018,НИР,Квантовые технологии,79295121
NIOKR-000362,Исследование в области 'Информационные технологии' №362,ИТМО,2020,2021,ОКР,Информационные технологии,81197611
NIOKR-000363,Исследование в области 'Информационные технологии' №363,НИЯУ МИФИ,2022,2024,ОКР,Информационные технологии,18976443
NIOKR-000364,Исследование в области 'Биотехнологии' №364,Томский политехнический университет,2019,2022,ОКР,Биотехнологии,7072331
NIOKR-000365,Исследование в области 'Робототехника' №365,НИУ ВШЭ,2021,2022,Технологическая работа,Робототехника,39735464
NIOKR-000366,Исследование в области 'Квантовые технологии' №366,УрФУ,2016,2018,ОКР,Квантовые технологии,84650068
NIOKR-000367,Исследование в области 'Ядерные технологии' №367,НИЯУ МИФИ,2024,2025,ОКР,Ядерные технологии,51089832
NIOKR-000368,Исследование в области 'Биотехнологии' №368,МФТИ,2020,2023,НИР,Биотехнологии,81861208
NIOKR-000369,Исследование в области 'Информационные технологии' №369,МГТУ им. Баумана,2023,2025,НИР,Информационные технологии,19392710
NIOKR-000370,Исследование в области 'Квантовые технологии' №370,МФТИ,2020,2022,Технологическая работа,Квантовые технологии,70190008
NIOKR-000371,Исследование в области 'Биотехнологии' №371,МФТИ,2017,2019,ОКР,Биотехнологии,83745294
NIOKR-000372,Исследование в области 'Биотехнологии' №372,УрФУ,2019,2022,Технологическая работа,Биотехнологии,72449442
NIOKR-000373,Исследование в области 'Новые материалы' №373,КФУ,2022,2025,НИР,Новые материалы,50440148
NIOKR-000374,Исследование в области 'Искусственный интеллект' №374,Томский политехнический университет,2020,2023,Технологическая работа,Искусственный интеллект,42295819
NIOKR-000375,Исследование в области 'Квантовые технологии' №375,ИТМО,2015,2018,Технологическая работа,Квантовые технологии,78641510
NIOKR-000376,Исследование в области 'Информационные технологии' №376,Сколтех,2024,2025,ОКР,Информационные технологии,23885741
NIOKR-000377,Исследование в области 'Микроэлектроника' №377,МФТИ,2023,2026,Технологическая работа,Микроэлектроника,33507072
NIOKR-000378,Исследование в области 'Искусственный интеллект' №378,СПбГУ,2015,2018,НИР,Искусственный интеллект,60195194
NIOKR-000379,Исследование в области 'Ядерные технологии' №379,Томский политехнический университет,2020,2022,Технологическая работа,Ядерные технологии,28365878
NIOKR-000380,Исследование в области 'Квантовые технологии' №380,МГТУ им. Баумана,2021,2024,Технологическая работа,Квантовые технологии,19533117
NIOKR-000381,Исследование в области 'Биотехнологии' №381,КФУ,2023,2024,Технологическая работа,Биотехнологии,51576565
NIOKR-000382,Исследование в области 'Квантовые технологии' №382,УрФУ,2020,2021,ОКР,Квантовые технологии,74319550
NIOKR-000383,Исследование в области 'Новые материалы' №383,Сколтех,2020,2023,ОКР,Новые материалы,26805259
NIOKR-000384,Исследование в области 'Новые материалы' №384,СПбГУ,2018,2020,ОКР,Новые материалы,39789478
NIOKR-000385,Исследование в области 'Квантовые технологии' №385,НИУ ВШЭ,2018,2021,ОКР,Квантовые технологии,47815569
NIOKR-000386,Исследование в области 'Новые материалы' №386,ИТМО,2023,2026,НИР,Новые материалы,77970753
NIOKR-000387,Исследование в области 'Микроэлектроника' №387,НИУ ВШЭ,2023,2025,НИР,Микроэлектроника,39983895
NIOKR-000388,Исследование в области 'Искусственный интеллект' №388,НИУ ВШЭ,2015,2017,ОКР,Искусственный интеллект,89043078
NIOKR-000389,Исследование в области 'Квантовые технологии' №389,СПбГУ,2019,2022,НИР,Квантовые технологии,73286705
NIOKR-000390,Исследование в области 'Новые материалы' №390,МФТИ,2019,2022,НИР,Новые материалы,83634772
NIOKR-000391,Исследование в области 'Робототехника' №391,МГТУ им. Баумана,2024,2025,Технологическая работа,Робототехника,72275182
NIOKR-000392,Исследование в области 'Робототехника' №392,МГТУ им. Баумана,2018,2021,НИР,Робототехника,56472370
NIOKR-000393,Исследование в области 'Квантовые технологии' №393,НИЯУ МИФИ,2020,2023,Технологическая работа,Квантовые технологии,19450513
NIOKR-000394,Исследование в области 'Ядерные технологии' №394,Томский политехнический университет,2015,2018,Технологическая работа,Ядерные технологии,64847325
NIOKR-000395,Исследование в области 'Робототехника' №395,ИТМО,2022,2025,ОКР,Робототехника,39307798
NIOKR-000396,Исследование в области 'Робототехника' №396,УрФУ,2015,2016,Технологическая работа,Робототехника,98055211
NIOKR-000397,Исследование в области 'Микроэлектроника' №397,МФТИ,2015,2016,НИР,Микроэлектроника,54283709
NIOKR-000398,Исследование в области 'Новые материалы' №398,МГТУ им. Баумана,2022,2023,НИР,Новые материалы,41049524
NIOKR-000399,Исследование в области 'Искусственный интеллект' №399,НИУ ВШЭ,2024,2027,ОКР,Искусственный интеллект,61981700
NIOKR-000400,Исследование в области 'Квантовые технологии' №400,МФТИ,2023,2026,Технологическая работа,Квантовые технологии,63816684
NIOKR-000401,Исследование в области 'Искусственный интеллект' №401,НИУ ВШЭ,2019,2020,НИР,Искусственный интеллект,99129162
NIOKR-000402,Исследование в области 'Новые материалы' №402,МФТИ,2022,2025,НИР,Новые материалы,99867180
NIOKR-000403,Исследование в области 'Робототехника' №403,МФТИ,2020,2022,Технологическая работа,Робототехника,86728324
NIOKR-000404,Исследование в области 'Биотехнологии' №404,НИЯУ МИФИ,2021,2023,ОКР,Биотехнологии,90826000
NIOKR-000405,Исследование в области 'Ядерные технологии' №405,КФУ,2016,2017,ОКР,Ядерные технологии,34292316
NIOKR-000406,Исследование в области 'Микроэлектроника' №406,СПбГУ,2015,2017,ОКР,Микроэлектроника,36835371
NIOKR-000407,Исследование в области 'Информационные технологии' №407,ИТМО,2020,2022,Технологическая работа,Информационные технологии,49258264
NIOKR-000408,Исследование в области 'Искусственный интеллект' №408,КФУ,2018,2019,ОКР,Искусственный интеллект,22436829
NIOKR-000409,Исследование в области 'Новые материалы' №409,НИЯУ МИФИ,2021,2024,Технологическая работа,Новые материалы,40599276
NIOKR-000410,Исследование в области 'Робототехника' №410,СПбГУ,2020,2023,НИР,Робототехника,65180488
NIOKR-000411,Исследование в области 'Биотехнологии' №411,Томский политехнический университет,2017,2019,Технологическая работа,Биотехнологии,74717007
NIOKR-000412,Исследование в области 'Робототехника' №412,СПбГУ,2022,2025,Технологическая работа,Робототехника,80968863
NIOKR-000413,Исследование в области 'Квантовые технологии' №413,УрФУ,2016,2019,Технологическая работа,Квантовые технологии,49557943
NIOKR-000414,Исследование в области 'Искусственный интеллект' №414,МГТУ им. Баумана,2016,2019,Технологическая работа,Искусственный интеллект,68845324
NIOKR-000415,Исследование в области 'Ядерные технологии' №415,МФТИ,2018,2021,ОКР,Ядерные технологии,70839059
NIOKR-000416,Исследование в области 'Робототехника' №416,Сколтех,2022,2023,ОКР,Робототехника,13205980
NIOKR-000417,Исследование в области 'Информационные технологии' №417,КФУ,2023,2025,НИР,Информационные технологии,69886959
NIOKR-000418,Исследование в области 'Информационные технологии' №418,УрФУ,2021,2023,ОКР,Информационные технологии,91297353
NIOKR-000419,Исследование в области 'Информационные технологии' №419,Томский политехнический университет,2019,2022,ОКР,Информационные технологии,1404729
NIOKR-000420,Исследование в области 'Искусственный интеллект' №420,МГТУ им. Баумана,2018,2021,ОКР,Искусственный интеллект,47241881
NIOKR-000421,Исследование в области 'Информационные технологии' №421,НИЯУ МИФИ,2016,2019,ОКР,Информационные технологии,5259382
NIOKR-000422,Исследование в области 'Ядерные технологии' №422,МФТИ,2019,2021,Технологическая работа,Ядерные технологии,98883579
NIOKR-000423,Исследование в области 'Микроэлектроника' №423,КФУ,2021,2023,ОКР,Микроэлектроника,51418290
NIOKR-000424,Исследование в области 'Ядерные технологии' №424,НИУ ВШЭ,2016,2019,НИР,Ядерные технологии,24954324
NIOKR-000425,Исследование в области 'Ядерные технологии' №425,СПбГУ,2023,2025,НИР,Ядерные технологии,4051483
NIOKR-000426,Исследование в области 'Микроэлектроника' №426,УрФУ,2019,2021,ОКР,Микроэлектроника,31824989
NIOKR-000427,Исследование в области 'Биотехнологии' №427,МФТИ,2018,2020,ОКР,Биотехнологии,26297417
NIOKR-000428,Исследование в области 'Микроэлектроника' №428,Сколтех,2016,2017,НИР,Микроэлектроника,33301683
NIOKR-000429,Исследование в области 'Искусственный интеллект' №429,Сколтех,2018,2019,НИР,Искусственный интеллект,60920305
NIOKR-000430,Исследование в области 'Информационные технологии' №430,СПбГУ,2024,2027,Технологическая работа,Информационные технологии,6937353
NIOKR-000431,Исследование в области 'Робототехника' №431,УрФУ,2021,2023,НИР,Робототехника,8575790
NIOKR-000432,Исследование в области 'Новые материалы' №432,СПбГУ,2017,2020,Технологическая работа,Новые материалы,78324220
NIOKR-000433,Исследование в области 'Биотехнологии' №433,СПбГУ,2020,2023,ОКР,Биотехнологии,20228089
NIOKR-000434,Исследование в области 'Микроэлектроника' №434,ИТМО,2023,2024,ОКР,Микроэлектроника,9181595
NIOKR-000435,Исследование в области 'Ядерные технологии' №435,Томский политехнический университет,2023,2026,Технологическая работа,Ядерные технологии,67521096
NIOKR-000436,Исследование в области 'Микроэлектроника' №436,УрФУ,2015,2017,ОКР,Микроэлектроника,94456932
NIOKR-000437,Исследование в области 'Ядерные технологии' №437,ИТМО,2021,2023,ОКР,Ядерные технологии,25679818
NIOKR-000438,Исследование в области 'Робототехника' №438,СПбГУ,2023,2025,ОКР,Робототехника,95969350
NIOKR-000439,Исследование в области 'Информационные технологии' №439,УрФУ,2017,2019,ОКР,Информационные технологии,56902739
NIOKR-000440,Исследование в области 'Ядерные технологии' №440,Томский политехнический университет,2023,2026,НИР,Ядерные технологии,35224936
NIOKR-000441,Исследование в области 'Искусственный интеллект' №441,КФУ,2018,2020,ОКР,Искусственный интеллект,13410307
NIOKR-000442,Исследование в области 'Робототехника' №442,МГТУ им. Баумана,2023,2026,ОКР,Робототехника,51622628
NIOKR-000443,Исследование в области 'Информационные технологии' №443,НИЯУ МИФИ,2024,2027,НИР,Информационные технологии,79864147
NIOKR-000444,Исследование в области 'Квантовые технологии' №444,СПбГУ,2023,2024,ОКР,Квантовые технологии,41693207
NIOKR-000445,Исследование в области 'Робототехника' №445,НИЯУ МИФИ,2015,2016,Технологическая работа,Робототехника,65279671
NIOKR-000446,Исследование в области 'Робототехника' №446,Томский политехнический университет,2018,2021,НИР,Робототехника,75098828
NIOKR-000447,Исследование в области 'Микроэлектроника' №447,КФУ,2020,2022,Технологическая работа,Микроэлектроника,88069904
NIOKR-000448,Исследование в области 'Новые материалы' №448,НИУ ВШЭ,2020,2022,Технологическая работа,Новые материалы,67743428
NIOKR-000449,Исследование в области 'Квантовые технологии' №449,НИУ ВШЭ,2022,2023,НИР,Квантовые технологии,50755172
NIOKR-000450,Исследование в области 'Информационные технологии' №450,Сколтех,2020,2022,НИР,Информационные технологии,20585415
NIOKR-000451,Исследование в области 'Микроэлектроника' №451,ИТМО,2015,2017,НИР,Микроэлектроника,27332415
NIOKR-000452,Исследование в области 'Микроэлектроника' №452,Сколтех,2020,2021,НИР,Микроэлектроника,68015110
NIOKR-000453,Исследование в области 'Биотехнологии' №453,ИТМО,2023,2026,ОКР,Биотехнологии,98114303
NIOKR-000454,Исследование в области 'Ядерные технологии' №454,НИУ ВШЭ,2022,2024,НИР,Ядерные технологии,19784915
NIOKR-000455,Исследование в области 'Ядерные технологии' №455,УрФУ,2023,2025,Технологическая работа,Ядерные технологии,8882882
NIOKR-000456,Исследование в области 'Искусственный интеллект' №456,МГТУ им. Баумана,2023,2024,НИР,Искусственный интеллект,56350347
NIOKR-000457,Исследование в области 'Робототехника' №457,НИЯУ МИФИ,2017,2020,Технологическая работа,Робототехника,21270856
NIOKR-000458,Исследование в области 'Квантовые технологии' №458,НИУ ВШЭ,2015,2016,НИР,Квантовые технологии,83924441
NIOKR-000459,Исследование в области 'Квантовые технологии' №459,МГТУ им. Баумана,2024,2026,НИР,Квантовые технологии,72432350
NIOKR-000460,Исследование в области 'Информационные технологии' №460,МГТУ им. Баумана,2023,2025,Технологическая работа,Информационные технологии,97931066
NIOKR-000461,Исследование в области 'Новые материалы' №461,МГТУ им. Баумана,2019,2022,Технологическая работа,Новые материалы,94665059
NIOKR-000462,Исследование в области 'Искусственный интеллект' №462,НИЯУ МИФИ,2021,2022,Технологическая работа,Искусственный интеллект,20984682
NIOKR-000463,Исследование в области 'Новые материалы' №463,НИУ ВШЭ,2018,2019,ОКР,Новые материалы,54270536
NIOKR-000464,Исследование в области 'Микроэлектроника' №464,КФУ,2016,2018,Технологическая работа,Микроэлектроника,33642810
NIOKR-000465,Исследование в области 'Искусственный интеллект' №465,МГТУ им. Баумана,2018,2020,НИР,Искусственный интеллект,55395532
NIOKR-000466,Исследование в области 'Квантовые технологии' №466,МГТУ им. Баумана,2021,2023,Технологическая работа,Квантовые технологии,2268380
NIOKR-000467,Исследование в области 'Квантовые технологии' №467,Томский политехнический университет,2017,2018,Технологическая работа,Квантовые технологии,45462389
NIOKR-000468,Исследование в области 'Информационные технологии' №468,СПбГУ,2024,2025,НИР,Информационные технологии,93917283
NIOKR-000469,Исследование в области 'Новые материалы' №469,МГТУ им. Баумана,2024,2026,НИР,Новые материалы,92862470
NIOKR-000470,Исследование в области 'Информационные технологии' №470,МФТИ,2019,2022,ОКР,Информационные технологии,3101593
